,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Number of Rooms,Number of Bathrooms,Floor,Suitable for Bank Loan,Number of Floors of the Building,Heating Type,Age of the Building,Furnishing Status,Usage Status,Status of the Property,Maintenance Fee,Rental Income,From Whom,Title Deed Status,House Type,"Video Home Tour
                                                                ?",Unit Exchange,Pet Friendly Paws Houses,Layout,Parcelled,Fiyat,İl,İlçe,Mahalle,Oda
87,115,125m²,4,Kombi (Doğalgaz),En Üst Kat,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,13000000,İstanbul,Beşiktaş,Nisbetiye, 2 + 1 
88,145,155m²,10-20 arası,Kombi (Doğalgaz),8,21-25 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,İstanbul,Esenyurt,Mevlana, 3 + 1 
89,95,110m²,4,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,990000,İstanbul,Esenyurt,Bağlarçeşme, 2 + 1 
90,76,100m²,10,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,1990000,İstanbul,Pendik,Velibaba, 3 + 1 
91,110,130m²,6,Kombi (Doğalgaz),1,6-10 arası,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,1050000,İstanbul,Esenyurt,Atatürk, 2 + 1 
92,75,90m²,4,Kombi (Doğalgaz),3,31-35 arası,Eşyasız,,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1870000,İstanbul,Maltepe,Cevizli, 2 + 1 
93,75,135m²,10-20 arası,Yerden Isıtma,3,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,2970000,İstanbul,Bağcılar,Fevzi Çakmak, 2 + 1 
94,150,200m²,,Merkezi Sistem,4,36-40 arası,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,8750000,İstanbul,Beşiktaş,Levent, 4 + 2 
95,105,118m²,5,Kombi (Doğalgaz),3,21-25 arası,Eşyasız,Boş,Evet,,392,2,,,,,,,,,,,,,,,,,,,,,,,5950000,İstanbul,Sarıyer,İstinye, 3 + 1 
96,70,94m²,10-20 arası,Yerden Isıtma,,1,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,İstanbul,Bağcılar,Mahmutbey, 1 + 1 
97,90,100m²,5,Kombi (Doğalgaz),5,6-10 arası,Eşyasız,Mülk Sahibi,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,1450000,İstanbul,Esenyurt,Akşemseddin, 2 + 1 
